,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
9482,Isely Traditional Magnet Elementary School,Public district,PK-5,525.0,15:1,Wichita School District,5,Average,"5256 North Woodlawn Boulevard, Wichita, KS, 67226",2
9483,Wineteer Elementary School,Public district,PK-5,463.0,12:1,Derby School District,5,Average,"8801 East Ent Drive, Wichita, KS, 67210",2
9484,Oatville Elementary School,Public district,PK-5,414.0,12:1,Haysville School District,5,Average,"4335 South Hoover Road, Wichita, KS, 67215",2
9485,Black Traditional Magnet Elementary School,Public district,PK-5,443.0,18:1,Wichita School District,4,Below average,"1045 North High, Wichita, KS, 67203",2
9486,College Hill Elementary School,Public district,PK-5,445.0,17:1,Wichita School District,4,Below average,"211 North Clifton Avenue, Wichita, KS, 67208",2
9487,Franklin Elementary School,Public district,PK-5,375.0,13:1,Wichita School District,4,Below average,"214 South Elizabeth, Wichita, KS, 67213",2
9488,Hyde International Studies and Communications Magnet Elementary School,Public district,PK-5,287.0,17:1,Wichita School District,4,Below average,"210 North Oliver Street, Wichita, KS, 67208",2
9489,Wilbur Middle School,Public district,6-8,834.0,14:1,Wichita School District,4,Below average,"340 North Tyler Road, Wichita, KS, 67212",2
9490,Christa McAuliffe Academy,Public district,PK-8,836.0,14:1,Wichita School District,4,Below average,"2055 South 143rd Street East, Wichita, KS, 67230",2
9491,Paul B Cooper Elementary School,Public district,PK-5,317.0,12:1,Derby School District,4,Below average,"4625 Juniper Street, Wichita, KS, 67216",2
9492,Calloway (Cab) School of the Arts,Public district,6-12,936.0,18:1,Red Clay Consolidated School District,9,Above average,"100 North Dupont Road, Wilmington, DE, 19807",2
9493,Conrad Schools of Science,Public district,6-12,1168.0,17:1,Red Clay Consolidated School District,9,Above average,"201 Jackson Avenue, Wilmington, DE, 19804",2
9494,Linden Hill Elementary School,Public district,K-5,599.0,16:1,Red Clay Consolidated School District,9,Above average,"3415 Skyline Drive, Wilmington, DE, 19808",2
9495,Brandywine Springs School,Public district,K-8,1006.0,16:1,Red Clay Consolidated School District,8,Above average,"2916 Duncan Road, Wilmington, DE, 19808",2
9497,First State Montessori Academy,Public charter,K-5,434.0,14:1,First State Montessori Academy,7,Above average,"1000 North French Street, Wilmington, DE, 19801",2
9498,Lombardy Elementary School,Public district,K-5,505.0,14:1,Brandywine School District,7,Above average,"412 Foulk Road, Wilmington, DE, 19803",2
9499,Forwood Elementary School,Public district,K-5,364.0,14:1,Brandywine School District,7,Above average,"1900 Westminster Drive, Wilmington, DE, 19810",2
9500,Hanby Elementary School,Public district,K-5,541.0,14:1,Brandywine School District,7,Above average,"2523 Berwyn Road, Wilmington, DE, 19810",2
9501,Dickinson (John) High School,Public district,6-12,814.0,16:1,Red Clay Consolidated School District,7,Above average,"1801 Milltown Road, Wilmington, DE, 19808",2
9502,Lancashire Elementary School,Public district,K-5,520.0,16:1,Brandywine School District,6,Average,"2000 Naamans Road, Wilmington, DE, 19810",2
9503,Heritage Elementary School,Public district,K-5,517.0,16:1,Red Clay Consolidated School District,6,Average,"2815 Highlands Lane, Wilmington, DE, 19808",2
9504,Springer Middle School,Public district,6-8,873.0,14:1,Brandywine School District,5,Average,"2220 Shipley Road, Wilmington, DE, 19803",2
9505,Talley Middle School,Public district,6-8,797.0,13:1,Brandywine School District,5,Average,"1110 Cypress Road, Wilmington, DE, 19810",2
9506,Marbrook Elementary School,Public district,K-5,426.0,14:1,Red Clay Consolidated School District,5,Average,"2101 Centerville Road, Wilmington, DE, 19808",2
9507,duPont (Pierre S.) Middle School,Public district,6-8,899.0,12:1,Brandywine School District,5,Average,"701 West 34th Street, Wilmington, DE, 19802",2
9508,Mount Pleasant Elementary School,Public district,K-5,721.0,13:1,Brandywine School District,4,Below average,"500 Duncan Road, Wilmington, DE, 19809",2
9509,Carrcroft Elementary School,Public district,K-5,510.0,14:1,Brandywine School District,3,Below average,"503 Crest Road, Wilmington, DE, 19803",2
9510,Baltz (Austin D.) Elementary School,Public district,PK-5,497.0,14:1,Red Clay Consolidated School District,3,Below average,"1500 Spruce Avenue, Wilmington, DE, 19805",2
9511,Richey Elementary School,Public district,K-5,446.0,14:1,Red Clay Consolidated School District,3,Below average,"105 East Highland Avenue, Wilmington, DE, 19804",2
9512,Kuumba Academy Charter School,Public charter,K-6,608.0,19:1,Kuumba Academy Charter School,3,Below average,"1200 North French Street, Wilmington, DE, 19801",2
9513,Freire Charter School,Public charter,8-12,353.0,17:1,Freire Charter School,2,Below average,"201 West 14th Street, Wilmington, DE, 19801",2
9514,Harlan (David W. ) Elementary School,Public district,K-5,341.0,10:1,Brandywine School District,2,Below average,"3601 North Jefferson Street, Wilmington, DE, 19802",2
9515,Mote (Anna P.) Elementary School,Public district,PK-5,388.0,13:1,Red Clay Consolidated School District,2,Below average,"2110 Edwards Avenue, Wilmington, DE, 19808",2
9516,Lewis (William C.) Dual Language Elementary School,Public district,K-5,460.0,14:1,Red Clay Consolidated School District,2,Below average,"920 North Van Buren Street, Wilmington, DE, 19806",2
9517,Heyward C Bellamy Elementary,Public district,1-5,648.0,15:1,New Hanover County School District,9,Above average,"70 Sanders Road, Wilmington, NC, 28412",2
9518,Charles P Murray Middle,Public district,6-8,950.0,14:1,New Hanover County School District,9,Above average,"655 Halyburton Memorial Parkway, Wilmington, NC, 28412",2
9519,Walter L Parsley Elementary,Public district,K-5,702.0,16:1,New Hanover County School District,9,Above average,"3518 Masonboro Loop Road, Wilmington, NC, 28409",2
9520,Island Montessori Charter,Public charter,K-8,205.0,9:1,Island Montessori Charter School District,8,Above average,"6339 Carolina Beach Road, Wilmington, NC, 28409",2
9521,Isaac M Bear High,Public district,9-12,227.0,19:1,New Hanover County School District,8,Above average,"630 MacMillan Avenue, Wilmington, NC, 28403",4
9522,Ogden Elementary,Public district,K-5,689.0,16:1,New Hanover County School District,7,Above average,"3637 Middle Sound Rd, Wilmington, NC, 28411",2
9523,Dr Hubert Eaton Sr Elementary,Public district,K-5,542.0,14:1,New Hanover County School District,7,Above average,"6701 Gordon Road, Wilmington, NC, 28411",2
9524,Cape Fear Center For Inquiry,Public charter,K-8,407.0,14:1,Cape Fear Center For Inquiry School District,7,Above average,"2525 Wonder Way, Wilmington, NC, 28401",2
9525,Emma B Trask Middle,Public district,6-8,732.0,15:1,New Hanover County School District,6,Average,"2900 North College Road, Wilmington, NC, 28405",2
9526,John T Hoggard HighNorth Carolina,Public district,9-12,1857.0,17:1,New Hanover County School District,6,Average,"4305 Shipyard Boulevard, Wilmington, NC, 28403",2
9527,Mary C Williams Elementary,Public district,K-5,476.0,11:1,New Hanover County School District,6,Average,"801 Silver Lake Road, Wilmington, NC, 28412",2
9528,Dr John Codington Elementary,Public district,K-5,554.0,14:1,New Hanover County School District,6,Average,"4321 Carolina Beach Road, Wilmington, NC, 28412",2
9529,Wilmington Preparatory Academy,Public charter,K-8,142.0,11:1,Wilmington Preparatory Academy School District,6,Average,"134 Cinema Drive, Wilmington, NC, 28403",2
9530,Emsley A Laney High,Public district,9-12,2327.0,16:1,New Hanover County School District,5,Average,"2700 North College Road, Wilmington, NC, 28405",2
9531,Gregory Elementary,Public district,K-6,508.0,9:1,New Hanover County School District,5,Average,"1106 Ann Street, Wilmington, NC, 28401",2
9532,M C S Noble Middle,Public district,6-8,887.0,14:1,New Hanover County School District,5,Average,"6520 Market Street, Wilmington, NC, 28405",2
9533,Pine Valley Elementary,Public district,K-5,612.0,14:1,New Hanover County School District,5,Average,"440 John S Mosby Drive, Wilmington, NC, 28412",2
9534,Sunset Park Elementary,Public district,K-5,389.0,10:1,New Hanover County School District,5,Average,"613 Alabama Avenue, Wilmington, NC, 28401",2
9535,Myrtle Grove Middle,Public district,6-8,736.0,14:1,New Hanover County School District,5,Average,"901 Piner Road, Wilmington, NC, 28409",2
9536,Holly Tree Elementary,Public district,K-5,533.0,17:1,New Hanover County School District,5,Average,"3020 Web Trce, Wilmington, NC, 28409",2
9537,Eugene Ashley High,Public district,9-12,1990.0,17:1,New Hanover County School District,5,Average,"555 Halyburton Memorial Parkway, Wilmington, NC, 28412",2
9538,Murrayville Elementary,Public district,K-5,685.0,15:1,New Hanover County School District,5,Average,"225 Mabee Way, Wilmington, NC, 28411",2
9539,Edwin A. Anderson Elementary,Public district,K-5,686.0,15:1,New Hanover County School District,5,Average,"455 Halyburton Memorial Parkway, Wilmington, NC, 28412",2
9540,Rachel Freeman Elementary,Public district,PK-5,290.0,9:1,New Hanover County School District,4,Below average,"2601 Princess Place Drive, Wilmington, NC, 28405",2
9541,Bradley Creek Elementary,Public district,K-5,423.0,13:1,New Hanover County School District,4,Below average,"6211 Greenville Loop Road, Wilmington, NC, 28409",2
9542,Admiral Richard E. Byrd Middle School,Public district,6-8,942.0,11:1,Frederick County Public Schools,6,Average,"134 Rosa Lane, Winchester, VA, 22602",2
9543,Millbrook High School,Public district,9-12,1450.0,12:1,Frederick County Public Schools,5,Average,"251 First Woods Drive, Winchester, VA, 22603",2
9544,Greenwood Mill Elementary School,Public district,PK-5,618.0,14:1,Frederick County Public Schools,5,Average,"281 Channing Drive, Winchester, VA, 22602",2
9545,Frederick County Middle School,Public district,6-8,685.0,11:1,Frederick County Public Schools,5,Average,"441 Linden Drive, Winchester, VA, 22601",2
9546,James Wood High School,Public district,9-12,1316.0,10:1,Frederick County Public Schools,5,Average,"161 Apple Pie Ridge Road, Winchester, VA, 22603",2
9547,Daniel Morgan Middle School,Public district,5-8,632.0,12:1,Winchester City Public Schools,4,Below average,"48 South Purcell Avenue, Winchester, VA, 22601",2
9548,Orchard View Elementary School,Public district,PK-5,460.0,11:1,Frederick County Public Schools,4,Below average,"4275 Middle Road, Winchester, VA, 22602",2
9549,Gainesboro Elementary School,Public district,PK-5,472.0,13:1,Frederick County Public Schools,4,Below average,"4651 North Frederick Pike, Winchester, VA, 22603",2
9550,James Wood Middle School,Public district,6-8,948.0,11:1,Frederick County Public Schools,4,Below average,"1313 Amherst Street, Winchester, VA, 22601",2
9551,Apple Pie Ridge Elementary School,Public district,PK-5,455.0,13:1,Frederick County Public Schools,4,Below average,"349 Apple Pie Ridge Road, Winchester, VA, 22603",2
9552,John Handley High School,Public district,9-12,1313.0,11:1,Winchester City Public Schools,3,Below average,"425 Handley Boulevard, Winchester, VA, 22601",2
9553,Virginia Ave. Charlotte Dehart Elementary School,Public district,PK-4,452.0,10:1,Winchester City Public Schools,3,Below average,"550 Virginia Avenue, Winchester, VA, 22601",2
9554,Evendale Elementary School,Public district,PK-5,521.0,12:1,Frederick County Public Schools,3,Below average,"220 Rosa Lane, Winchester, VA, 22602",2
9555,Armel Elementary School,Public district,PK-5,644.0,15:1,Frederick County Public Schools,3,Below average,"2239 Front Royal Pike, Winchester, VA, 22602",2
9556,Redbud Run Elementary School,Public district,PK-5,693.0,12:1,Frederick County Public Schools,3,Below average,"250 First Woods Drive, Winchester, VA, 22603",2
9557,Frederick Douglass Elementary School,Public district,PK-4,330.0,10:1,Winchester City Public Schools,2,Below average,"100 West Cedarmeade Avenue, Winchester, VA, 22601",2
9558,Garland R. Quarles Elementary School,Public district,PK-4,429.0,11:1,Winchester City Public Schools,2,Below average,"1310 South Loudoun Street, Winchester, VA, 22601",2
9559,Indian Hollow Elementary School,Public district,PK-5,433.0,13:1,Frederick County Public Schools,2,Below average,"1548 North Hayfield Road, Winchester, VA, 22603",2
9560,John Kerr Elementary,Public district,1-4,557.0,,Winchester City Public Schools,2,Below average,"427 Meadow Branch Avenue, Winchester, VA, 22601",2
9561,Daniel Morgan Intermediate School,Public district,Ungraded,672.0,,Winchester City Public Schools,2,Below average,"48 South Purcell Avenue, Winchester, VA, 22601",2
9567,Bluffview Montessori,Public charter,K-8,209.0,10:1,Bluffview Montessori,6,Average,"1321 Gilmore Avenue, Winona, MN, 55987",2
9568,Washington Elementary School,Public district,K-4,269.0,12:1,Winona Area Public School District,5,Average,"365 Mankato Avenue, Winona, MN, 55987",2
9569,Winona Middle School,Public district,5-8,927.0,13:1,Winona Area Public School District,4,Below average,"1570 Homer Road, Winona, MN, 55987",2
9570,Jefferson Elementary School,Public district,K-4,319.0,11:1,Winona Area Public School District,3,Below average,"1268 West 5th Street, Winona, MN, 55987",2
9571,Riverway Secondary,Public charter,7-12,46.0,12:1,Riverway Learning Community Chtr,3,Below average,"1733 Service Drive, Winona, MN, 55987",2
9572,Winona Senior High School,Public district,9-12,923.0,15:1,Winona Area Public School District,2,Below average,"901 Gilmore Avenue, Winona, MN, 55987",2
9591,Hartridge Academy,Public charter,K-5,226.0,20:1,Polk,10,Top rated,"1400 U.S. 92, Winter Haven, FL, 33881",2
9592,Chain Of Lakes Collegiate High SchoolFlorida,Public charter,11-12,305.0,42:1,Polk,10,Top rated,"999 Avenue H Northeast, Winter Haven, FL, 33881",2
9593,Chain Of Lakes Elementary School,Public district,PK-5,1103.0,18:1,Polk,8,Above average,"7001 State Highway 653, Winter Haven, FL, 33884",2
9594,Frank E. Brigham Academy,Public district,PK-5,545.0,16:1,Polk,8,Above average,"601 Avenue C Southeast, Winter Haven, FL, 33880",2
9595,Jewett Middle Academy Magnet,Public district,6-8,606.0,19:1,Polk,5,Average,"601 Avenue T Northeast, Winter Haven, FL, 33881",2
9596,Jewett School Of The Arts,Public district,PK-8,776.0,15:1,Polk,5,Average,"2250 8th Street Northeast, Winter Haven, FL, 33881",2
9597,Cypress Junction Montessori,Public charter,PK-8,158.0,,Polk,4,Below average,"220 5th Street Southwest, Winter Haven, FL, 33880",2
9598,Elbert Elementary School,Public district,PK-5,792.0,16:1,Polk,4,Below average,"205 15th Street Northeast, Winter Haven, FL, 33881",2
9599,Lake Shipp Elementary School,Public district,PK-5,500.0,17:1,Polk,4,Below average,"250 Camellia Drive, Winter Haven, FL, 33880",2
9600,Wahneta Elementary School,Public district,PK-5,439.0,16:1,Polk,4,Below average,"205 4th Wahneta Street East, Winter Haven, FL, 33880",2
9601,Garden Grove Elementary School,Public district,PK-5,526.0,16:1,Polk,4,Below average,"4599 Cypress Gardens Road, Winter Haven, FL, 33884",2
9602,Winter Haven Senior High School,Public district,9-12,2250.0,24:1,Polk,3,Below average,"600 6th Street Southeast, Winter Haven, FL, 33880",2
9603,Denison Middle School,Public district,6-8,848.0,16:1,Polk,2,Below average,"400 Avenue A Southeast, Winter Haven, FL, 33880",2
9604,Westwood Middle School,Public district,6-8,720.0,14:1,Polk,2,Below average,"3520 Avenue J Northwest, Winter Haven, FL, 33881",2
9605,Inwood Elementary School,Public district,PK-5,374.0,18:1,Polk,2,Below average,"2200 Avenue G Northwest, Winter Haven, FL, 33880",2
