,School,Score,Rating,Address
31868,Center For Academic Success Â The #3,Average,3/10,"919 East 3rd Street, Douglas, AZ, 85607"
31869,Omega Alpha Academy School,Average,3/10,"1402 San Antonio Ave, Douglas, AZ, 85607"
31870,Clawson School,Average,3/10,"1235 East 7th Street, Douglas, AZ, 85607"
31871,Douglas High School,Below average,3/10,"1500 15th Street, Douglas, AZ, 85607"
31872,Paul H Huber Junior High School,Below average,3/10,"1650 North Washington Avenue, Douglas, AZ, 85607"
31873,Center For Academic Success The #2,Below average,3/10,"510 G Avenue, Douglas, AZ, 85607"
31874,Ray Borane Middle School,Below average,3/10,"840 12th Street, Douglas, AZ, 85607"
31875,Joe Carlson Elementary School,Below average,4/10,"1700 North Louis Avenue, Douglas, AZ, 85607"
31876,Sarah Marley School,Below average,4/10,"735 East 7th Street, Douglas, AZ, 85607"
31877,PPEP Tec - Raul H. Castro Learning Center,Below average,4/10,"530 12th Street, Douglas, AZ, 85607"
31878,Loretto Catholic School,Currently unrated,4/10,"1200 East 14th Street, Douglas, AZ, 85607"
31879,Lestonnac Preschool and Kindergarten,Currently unrated,4/10,"1047 E 10th St, Douglas, AZ, 85607"
31880,Ctd - Douglas High School,Currently unrated,4/10,"1500 15th Street, Douglas, AZ, 85607"
31881,Bonita Head Start,Currently unrated,4/10,"1201 East 16th Street, Douglas, AZ, 85607"
31882,Lomeli's Day Care,Currently unrated,3/10,"1281 20th St, Douglas, AZ, 85607"
31883,Saida Moroyoqui Day Care,Currently unrated,3/10,"2300 East 13th Street, Douglas, AZ, 85607"
31884,Arco Iris Daycare Center,Currently unrated,3/10,"2340 East Primrose Street, Douglas, AZ, 85607"
31885,La Escuelita Head Start Center,Currently unrated,3/10,"460 F Avenue, Douglas, AZ, 85607"
31886,Aurora's Day Care,Currently unrated,3/10,"5 E Merritt Ave, Douglas, AZ, 85607"
31887,La Escuelita Head Start Center,Currently unrated,3/10,"605 F Avenue, Douglas, AZ, 85607"
31888,Golden Child Day Care,Currently unrated,3/10,"901 East 7th Street, Douglas, AZ, 85607"
31889,Nuestros Ninos Pre-School,Currently unrated,3/10,"Abc 100 Coronado Courts, Douglas, AZ, 85607"
31890,Aspc - Douglas/A.C.I.,Currently unrated,3/10,"6911 North Bdi Boulevard, Douglas, AZ, 85607"
31891,Lestonnac Pre-School & Pre-K,Currently unrated,3/10,"1047 East 10th Street, Douglas, AZ, 85607"
31892,Lomeli's Child Care Center,Currently unrated,3/10,"1240 East 23rd Street, Douglas, AZ, 85607"
31893,Coqui Children's Child Care Center,Currently unrated,3/10,"721 11th Street, Douglas, AZ, 85607"
31894,Early Learning Center,Currently unrated,3/10,"1100 15th Street, Douglas, AZ, 85607"
31895,Apache Elementary School,Currently unrated,3/10,"10488 N. Skeleton Canyon Road, Douglas, AZ, 85608"
31896,Aspc - Douglas/A.C.I.,Currently unrated,3/10,"6911 North Bdi Boulevard, Douglas, AZ, 85607"
31897,Lestonnac Pre-School & Pre-K,Currently unrated,3/10,"1047 East 10th Street, Douglas, AZ, 85607"
31898,Lomeli's Child Care Center,Currently unrated,3/10,"1240 East 23rd Street, Douglas, AZ, 85607"
31899,Coqui Children's Child Care Center,Currently unrated,3/10,"721 11th Street, Douglas, AZ, 85607"
31900,Early Learning Center,Currently unrated,2/10,"1100 15th Street, Douglas, AZ, 85607"
31901,Apache Elementary School,Currently unrated,2/10,"10488 N. Skeleton Canyon Road, Douglas, AZ, 85608"
31902,Frear (Allen) Elementary School,Top rated,2/10,"238 Sorghum Mill Road, Dover, DE, 19901"
31903,Welch (Major George S.) Elementary School,Top rated,2/10,"3100 Hawthorne Drive, Dover, DE, 19901"
31904,Dover Air Force Base Middle School,Above average,2/10,"3100 Hawthorne Drive, Dover, DE, 19901"
31905,Star Hill Elementary School,Above average,2/10,"594 Voshells Mill Star Hill Road, Dover, DE, 19901"
31906,Booker T. Washington Elementary School,Above average,2/10,"901 Forest Street, Dover, DE, 19904"
31907,Postlethwait (F. Niel) Middle School,Above average,2/10,"2841 South State Street, Dover, DE, 19901"
31908,North Dover Elementary School,Above average,2/10,"855 College Road, Dover, DE, 19904"
31909,Campus Community School,Average,2/10,"350 Pear Street, Dover, DE, 19904"
31910,Brown (W. Reily) Elementary School,Average,2/10,"360 Webbs Lane, Dover, DE, 19904"
31911,Central Middle School,Below average,2/10,"211 Delaware Avenue, Dover, DE, 19901"
31912,South Dover Elementary School,Below average,2/10,"955 South State Street, Dover, DE, 19901"
31913,Academy Of Dover Charter School,Below average,2/10,"104 Saulsbury Road, Dover, DE, 19904"
31914,Fairview Elementary School,Below average,2/10,"700 Walker Road, Dover, DE, 19904"
31915,East Dover Elementary School,Below average,2/10,"852 South Little Creek Road, Dover, DE, 19901"
31916,Towne Point Elementary School,Below average,2/10,"629 Buckson Drive, Dover, DE, 19901"
31917,William Henry Middle School,Below average,2/10,"65 Carver Road, Dover, DE, 19904"
31918,Dovers Childrens Village,Currently unrated,2/10,"726 Woodcrest Drive, Dover, DE, 19904"
31919,Childrens Secret Garden In,Currently unrated,2/10,"717 Hatchery Road, Dover, DE, 19901"
31920,Norman Day Cae Center,Currently unrated,1/10,"2318 Forrest Avenue, Dover, DE, 19904"
31921,Kidz Ink Iii Day Care,Currently unrated,1/10,"645 West North Street, Dover, DE, 19904"
31922,Pumpkin Patch Early Learning Center,Currently unrated,1/10,"2364 Pearsons Corner Road, Dover, DE, 19904"
31923,Fuller Love Day Care,Currently unrated,2/10,"209 Eisenhower Drive, Dover, DE, 19901"
31924,Precious Moments Ed Ps Center,Currently unrated,2/10,"4607 South Dupont Highway, Dover, DE, 19901"
31925,Learning All Hours Edu Community,Currently unrated,2/10,"230 East Sheldrake Circle, Dover, DE, 19904"
31926,Kids-R-Us Learning Center,Currently unrated,2/10,"425 Webbs Lane, Dover, DE, 19904"
31927,Frear (Allen) Elementary School,Top rated,2/10,"238 Sorghum Mill Road, Dover, DE, 19901"
31928,Welch (Major George S.) Elementary School,Top rated,2/10,"3100 Hawthorne Drive, Dover, DE, 19901"
31929,Dover Air Force Base Middle School,Above average,2/10,"3100 Hawthorne Drive, Dover, DE, 19901"
31930,Star Hill Elementary School,Above average,2/10,"594 Voshells Mill Star Hill Road, Dover, DE, 19901"
31931,Booker T. Washington Elementary School,Above average,2/10,"901 Forest Street, Dover, DE, 19904"
31932,Postlethwait (F. Niel) Middle School,Above average,2/10,"2841 South State Street, Dover, DE, 19901"
31933,North Dover Elementary School,Above average,2/10,"855 College Road, Dover, DE, 19904"
31934,Campus Community School,Average,2/10,"350 Pear Street, Dover, DE, 19904"
31935,Brown (W. Reily) Elementary School,Average,2/10,"360 Webbs Lane, Dover, DE, 19904"
31936,Central Middle School,Below average,2/10,"211 Delaware Avenue, Dover, DE, 19901"
31937,South Dover Elementary School,Below average,2/10,"955 South State Street, Dover, DE, 19901"
31938,Academy Of Dover Charter School,Below average,2/10,"104 Saulsbury Road, Dover, DE, 19904"
31939,Fairview Elementary School,Below average,2/10,"700 Walker Road, Dover, DE, 19904"
31940,East Dover Elementary School,Below average,2/10,"852 South Little Creek Road, Dover, DE, 19901"
31941,Towne Point Elementary School,Below average,2/10,"629 Buckson Drive, Dover, DE, 19901"
31942,William Henry Middle School,Below average,2/10,"65 Carver Road, Dover, DE, 19904"
31943,Dovers Childrens Village,Currently unrated,1/10,"726 Woodcrest Drive, Dover, DE, 19904"
31944,Childrens Secret Garden In,Currently unrated,1/10,"717 Hatchery Road, Dover, DE, 19901"
31945,Norman Day Cae Center,Currently unrated,1/10,"2318 Forrest Avenue, Dover, DE, 19904"
31946,Kidz Ink Iii Day Care,Currently unrated,9/10,"645 West North Street, Dover, DE, 19904"
31947,Pumpkin Patch Early Learning Center,Currently unrated,7/10,"2364 Pearsons Corner Road, Dover, DE, 19904"
31948,Fuller Love Day Care,Currently unrated,5/10,"209 Eisenhower Drive, Dover, DE, 19901"
31949,Precious Moments Ed Ps Center,Currently unrated,4/10,"4607 South Dupont Highway, Dover, DE, 19901"
31950,Learning All Hours Edu Community,Currently unrated,3/10,"230 East Sheldrake Circle, Dover, DE, 19904"
31951,Kids-R-Us Learning Center,Currently unrated,3/10,"425 Webbs Lane, Dover, DE, 19904"
31952,Early College High School at Delaware State University,Currently unrated,9/10,"1570 North Dupont Highway, Dover, DE, 19901"
31953,Holy Cross School,Currently unrated,7/10,"631 South State Street, Dover, DE, 19901"
31954,Capitol Baptist School,Currently unrated,5/10,"401 Kesselring Avenue, Dover, DE, 19904"
31955,Green Hill,Currently unrated,4/10,"1936 Seeneytown Road, Dover, DE, 19904"
31956,Wileys School,Currently unrated,3/10,"21 Sharon Hill Road, Dover, DE, 19904"
31957,Central Christian School,Currently unrated,3/10,"220 West Denneys Road, Dover, DE, 19904"
31958,Rose Valley School,Currently unrated,6/10,"361 Rose Valley School Road, Dover, DE, 19904"
31959,Calvary Christian Academy,Currently unrated,6/10,"1143 East Lebanon Road, Dover, DE, 19901"
31960,Central De Christian Academy,Currently unrated,5/10,"4698 South Dupont Highway, Dover, DE, 19901"
31961,Faith Elementary and Middle School,Currently unrated,4/10,"90 Saulsbury Rd, Dover, DE, 19904"
31962,Honeysuckle Knoll School,Currently unrated,4/10,"1259 Sharon Hill Road, Dover, DE, 19904"
31963,Cedar Grove Amish School,Currently unrated,4/10,"2636 Pearsons Corner Road, Dover, DE, 19904"
31964,Kent County Secondary Intensive Learning Center,Currently unrated,3/10,"631 Ridgely Street, Dover, DE, 19904"
31965,Dover Montessori Country Day Academy,Currently unrated,3/10,"88 Carpenter Street, Dover, DE, 19901"
31966,Apple Grove School,Currently unrated,3/10,"2391 Hazlettville Rd, Dover, DE, 19904"
31967,Corporate Kids Learning Center,Currently unrated,3/10,"605 South Bay Road, Dover, DE, 19901"
31968,St. John's Lutheran School,Currently unrated,2/10,"1156 Walker Road, Dover, DE, 19904"
31969,Early Childhood Laboratory School,Currently unrated,2/10,"1200 North Dupont Highway, Dover, DE, 19901"
31970,Dover High School,Currently unrated,2/10,"1 Dover High Drive, Dover, DE, 19904"
31971,The Little School,Currently unrated,2/10,"105 Mont Blanc Blvd, Dover, DE, 19904"
31972,Postlethwait Middle School Ilc,Currently unrated,2/10,"2841 South State Street, Dover, DE, 19901"
31973,St John's Lutheran School,Currently unrated,6/10,"1156 Walker Road, Dover, DE, 19904"
31974,Kent County Community School,Currently unrated,6/10,"65 Carver Road, Dover, DE, 19904"
31975,Wesley Play Care Center & Pre-School,Currently unrated,5/10,"209 South State Street, Dover, DE, 19901"
31976,The Learning Compass,Currently unrated,4/10,"722 S Old Mill Road, Dover, DE, 19901"
31977,Early College High School at Delaware State University,Currently unrated,4/10,"1570 North Dupont Highway, Dover, DE, 19901"
31978,Holy Cross School,Currently unrated,4/10,"631 South State Street, Dover, DE, 19901"
31979,Capitol Baptist School,Currently unrated,3/10,"401 Kesselring Avenue, Dover, DE, 19904"
31980,Green Hill,Currently unrated,3/10,"1936 Seeneytown Road, Dover, DE, 19904"
31981,Wileys School,Currently unrated,3/10,"21 Sharon Hill Road, Dover, DE, 19904"
31982,Central Christian School,Currently unrated,3/10,"220 West Denneys Road, Dover, DE, 19904"
31983,Rose Valley School,Currently unrated,2/10,"361 Rose Valley School Road, Dover, DE, 19904"
31984,Calvary Christian Academy,Currently unrated,2/10,"1143 East Lebanon Road, Dover, DE, 19901"
31985,Central De Christian Academy,Currently unrated,2/10,"4698 South Dupont Highway, Dover, DE, 19901"
31986,Faith Elementary and Middle School,Currently unrated,2/10,"90 Saulsbury Rd, Dover, DE, 19904"
31987,Honeysuckle Knoll School,Currently unrated,2/10,"1259 Sharon Hill Road, Dover, DE, 19904"
31988,Cedar Grove Amish School,Currently unrated,7/10,"2636 Pearsons Corner Road, Dover, DE, 19904"
31989,Kent County Secondary Intensive Learning Center,Currently unrated,6/10,"631 Ridgely Street, Dover, DE, 19904"
31990,Dover Montessori Country Day Academy,Currently unrated,6/10,"88 Carpenter Street, Dover, DE, 19901"
31991,Apple Grove School,Currently unrated,5/10,"2391 Hazlettville Rd, Dover, DE, 19904"
31992,Corporate Kids Learning Center,Currently unrated,4/10,"605 South Bay Road, Dover, DE, 19901"
31993,St. John's Lutheran School,Currently unrated,4/10,"1156 Walker Road, Dover, DE, 19904"
31994,Early Childhood Laboratory School,Currently unrated,3/10,"1200 North Dupont Highway, Dover, DE, 19901"
31995,Dover High School,Currently unrated,3/10,"1 Dover High Drive, Dover, DE, 19904"
31996,The Little School,Currently unrated,1/10,"105 Mont Blanc Blvd, Dover, DE, 19904"
31997,Postlethwait Middle School Ilc,Currently unrated,7/10,"2841 South State Street, Dover, DE, 19901"
31998,St John's Lutheran School,Currently unrated,6/10,"1156 Walker Road, Dover, DE, 19904"
31999,Kent County Community School,Currently unrated,6/10,"65 Carver Road, Dover, DE, 19904"
32000,Wesley Play Care Center & Pre-School,Currently unrated,5/10,"209 South State Street, Dover, DE, 19901"
32001,The Learning Compass,Currently unrated,4/10,"722 S Old Mill Road, Dover, DE, 19901"
32002,Tina Cahall Day Care,Currently unrated,4/10,"10 E Huntington Cir, Dover, DE, 19904"
32003,Colonial Gardens Head Start Center,Currently unrated,3/10,"1000 Hayes Circle, Dover, DE, 19904"
32004,Dover Early Learning Center,Currently unrated,3/10,"1012 South Governors Avenue, Dover, DE, 19904"
32005,St John's Luth Early Learning Center,Currently unrated,1/10,"113 Lotus Street, Dover, DE, 19901"
32006,YMCA Children's Corner,Currently unrated,6/10,"1137 S State St, Dover, DE, 19901"
32007,Lori Wooleyhand Day Care,Currently unrated,6/10,"128 Crimson Dr, Dover, DE, 19904"
32008,Drop A Tot Pre-School Day Care,Currently unrated,4/10,"120 South Governors Avenue, Dover, DE, 19904"
32009,Tender Hearts Learning Center,Currently unrated,4/10,"1339 South Governors Avenue, Dover, DE, 19904"
32010,Janet M Scott Day Care,Currently unrated,4/10,"1410 Nathaniel Mtchll Rd, Dover, DE, 19904"
32011,Theresa Ann Rash Day Care,Currently unrated,4/10,"1411 Walnut Shade Road, Dover, DE, 19901"
32012,Kimberly Willis Day Care,Currently unrated,4/10,"167 Turner Drive, Dover, DE, 19904"
32013,Cherie L Raymond Day Care,Currently unrated,3/10,"174 Porcher St, Dover, DE, 19901"
32014,Telamon Head Start White Oak Center,Currently unrated,3/10,"195 Willis Road, Dover, DE, 19901"
32015,Cynthia Sampere Day Care,Currently unrated,3/10,"3 Kensington Court, Dover, DE, 19904"
32016,S Lowan Pitts Day Care Center,Currently unrated,3/10,"341 Saulsbury Rd, Dover, DE, 19904"
32017,Rochelle Ross Day Care,Currently unrated,3/10,"344 W Wind Dr, Dover, DE, 19901"
32018,Boys & Girls Club-Simon Circle,Currently unrated,3/10,"375 Simon Circle, Dover, DE, 19904"
32019,Shanay's Kids R Us Learning Center,Currently unrated,3/10,"403 W Loockerman St, Dover, DE, 19901"
32020,Tender Years Day Care,Currently unrated,3/10,"407 Worchester Drive, Dover, DE, 19904"
32021,Arlis Beebe Day Care,Currently unrated,3/10,"63 West Inner Circle, Dover, DE, 19904"
32022,Love N Learn Nursery School,Currently unrated,3/10,"710 Buckson Drive, Dover, DE, 19901"
32023,Kenton Child Care Center,Currently unrated,2/10,"1298 McKee Road, Dover, DE, 19904"
32024,Dover Educational & Community Center,Currently unrated,2/10,"744 River Road, Dover, DE, 19901"
32025,Boys & Girls CLB Day Care-Manchester,Currently unrated,2/10,"76 Stevenson Dr, Dover, DE, 19904"
32026,Children First Learning Center,Currently unrated,2/10,"760 Townsend Boulevard, Dover, DE, 19901"
32027,Tina Cahall Day Care,Currently unrated,2/10,"10 E Huntington Cir, Dover, DE, 19904"
32028,Colonial Gardens Head Start Center,Currently unrated,2/10,"1000 Hayes Circle, Dover, DE, 19904"
32029,Dover Early Learning Center,Currently unrated,2/10,"1012 South Governors Avenue, Dover, DE, 19904"
32030,St John's Luth Early Learning Center,Currently unrated,2/10,"113 Lotus Street, Dover, DE, 19901"
32031,YMCA Children's Corner,Currently unrated,6/10,"1137 S State St, Dover, DE, 19901"
32032,Lori Wooleyhand Day Care,Currently unrated,6/10,"128 Crimson Dr, Dover, DE, 19904"
32033,Drop A Tot Pre-School Day Care,Currently unrated,4/10,"120 South Governors Avenue, Dover, DE, 19904"
32034,Tender Hearts Learning Center,Currently unrated,4/10,"1339 South Governors Avenue, Dover, DE, 19904"
32035,Janet M Scott Day Care,Currently unrated,4/10,"1410 Nathaniel Mtchll Rd, Dover, DE, 19904"
32036,Theresa Ann Rash Day Care,Currently unrated,4/10,"1411 Walnut Shade Road, Dover, DE, 19901"
32037,Kimberly Willis Day Care,Currently unrated,4/10,"167 Turner Drive, Dover, DE, 19904"
32038,Cherie L Raymond Day Care,Currently unrated,3/10,"174 Porcher St, Dover, DE, 19901"
32039,Telamon Head Start White Oak Center,Currently unrated,3/10,"195 Willis Road, Dover, DE, 19901"
32040,Cynthia Sampere Day Care,Currently unrated,3/10,"3 Kensington Court, Dover, DE, 19904"
32041,S Lowan Pitts Day Care Center,Currently unrated,3/10,"341 Saulsbury Rd, Dover, DE, 19904"
32042,Rochelle Ross Day Care,Currently unrated,3/10,"344 W Wind Dr, Dover, DE, 19901"
32043,Boys & Girls Club-Simon Circle,Currently unrated,3/10,"375 Simon Circle, Dover, DE, 19904"
32044,Shanay's Kids R Us Learning Center,Currently unrated,3/10,"403 W Loockerman St, Dover, DE, 19901"
32045,Tender Years Day Care,Currently unrated,3/10,"407 Worchester Drive, Dover, DE, 19904"
32046,Arlis Beebe Day Care,Currently unrated,3/10,"63 West Inner Circle, Dover, DE, 19904"
32047,Love N Learn Nursery School,Currently unrated,3/10,"710 Buckson Drive, Dover, DE, 19901"
32048,Kenton Child Care Center,Currently unrated,2/10,"1298 McKee Road, Dover, DE, 19904"
32049,Dover Educational & Community Center,Currently unrated,2/10,"744 River Road, Dover, DE, 19901"
32050,Boys & Girls CLB Day Care-Manchester,Currently unrated,2/10,"76 Stevenson Dr, Dover, DE, 19904"
32051,Children First Learning Center,Currently unrated,2/10,"760 Townsend Boulevard, Dover, DE, 19901"
32052,Coleman Family Day Care Center,Currently unrated,2/10,"827 Paul Street, Dover, DE, 19904"
32053,Sylvia Campbell Day Care,Currently unrated,2/10,"86 Lingo Drive, Dover, DE, 19901"
32054,Playhouse Nursery School,Currently unrated,2/10,"868 S State St, Dover, DE, 19904"
32055,Pressley Ridge Day Care,Currently unrated,2/10,"846 Walker Road #32, Dover, DE, 19904"
32056,Hunter Family Day Care Center,Currently unrated,10/10,"887 Wyoming Mill Rd, Dover, DE, 19904"
32057,Mankee Doodle Day Care,Currently unrated,9/10,"911 Wilson Drive, Dover, DE, 19904"
32058,Salvation Army Youth Child Care Center,Currently unrated,9/10,"P.O. Box 123, Dover, DE, 19903"
32059,Kingdom Christian Academy,Currently unrated,8/10,"Po Box 924, Dover, DE, 19903"
32060,Dover Afb Child Development Center,Currently unrated,7/10,"Dover Air Force Base Child Dev, Dover, DE, 19902"
