,School,Type,Grades,Total students enrolled,Students per teacher,Reviews,District
21,"Currently unratedMatthews Head Start507 Sycamore Street, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
22,"Currently unratedLittle Angels606 Olive Street, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
23,"Currently unratedCreative Learning Pre-School & Nursery741 North 7th Street, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
24,"Currently unratedMrs Susie's Angels Dc808 Arms Street, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
0,"9/10Above averageMeadows Arts And Technology Elementary School2000 La Granada Drive, Thousand Oaks, CA, 91362 Homes for sale",Public charter,K-5,396.0,22:1,24 reviews,Ventura County Office Of Education School District
1,"8/10Above averageLang Ranch2450 Whitechapel Place, Thousand Oaks, CA, 91362 Homes for sale",Public district,K-5,664.0,23:1,11 reviews,Conejo Valley Unified School District
2,"8/10Above averageWeathersfield Elementary School3151 Darlington Drive, Thousand Oaks, CA, 91360 Homes for sale",Public district,K-5,313.0,23:1,30 reviews,Conejo Valley Unified School District
3,"7/10Above averageBridges Charter School1335 Calle Bouganvilla, Thousand Oaks, CA, 91360 Homes for sale",Public charter,K-8,407.0,25:1,44 reviews,Ventura County Office Of Education School District
4,"7/10Above averageLadera Elementary School1211 Calle Almendro, Thousand Oaks, CA, 91360 Homes for sale",Public district,K-5,308.0,22:1,9 reviews,Conejo Valley Unified School District
5,"7/10Above averageLos Cerritos Middle School2100 Avenida De Las Flores, Thousand Oaks, CA, 91362 Homes for sale",Public district,6-8,983.0,22:1,18 reviews,Conejo Valley Unified School District
6,"7/10Above averageThousand Oaks High School2323 North Moorpark Road, Thousand Oaks, CA, 91360 Homes for sale",Public district,9-12,2091.0,24:1,2 reviews,Conejo Valley Unified School District
7,"7/10Above averageWildwood Elementary School620 West Velarde Drive, Thousand Oaks, CA, 91360 Homes for sale",Public district,K-5,454.0,22:1,12 reviews,Conejo Valley Unified School District
8,"6/10AverageAspen Elementary School1870 Oberlin Avenue, Thousand Oaks, CA, 91360 Homes for sale",Public district,K-5,372.0,18:1,21 reviews,Conejo Valley Unified School District
9,"6/10AverageColina Middle School1500 East Hillcrest Drive, Thousand Oaks, CA, 91362 Homes for sale",Public district,6-8,1007.0,24:1,18 reviews,Conejo Valley Unified School District
10,"6/10AverageMadrona Elementary School612 Camino Manzanas, Thousand Oaks, CA, 91360 Homes for sale",Public district,K-5,409.0,21:1,16 reviews,Conejo Valley Unified School District
11,"6/10AverageRedwood Middle School233 West Gainsborough Road, Thousand Oaks, CA, 91360 Homes for sale",Public district,6-8,802.0,25:1,18 reviews,Conejo Valley Unified School District
12,"5/10AverageCentury Academy1025 Old Farm School Road, Thousand Oaks, CA, 91360 Homes for sale",Public district,6-12,105.0,14:1,1 review,Conejo Valley Unified School District
13,"5/10AverageAcacia Elementary School55 Norman Avenue, Thousand Oaks, CA, 91360 Homes for sale",Public district,K-5,365.0,23:1,12 reviews,Conejo Valley Unified School District
14,"4/10Below averageConejo Elementary School280 North Conejo School Road, Thousand Oaks, CA, 91362 Homes for sale",Public district,K-5,299.0,21:1,11 reviews,Conejo Valley Unified School District
15,"4/10Below averageGlenwood Elementary School1135 Windsor Drive, Thousand Oaks, CA, 91360 Homes for sale",Public district,K-5,294.0,19:1,8 reviews,Conejo Valley Unified School District
16,"3/10Below averageCompass Charter Schools Of San Diego850 Hampshire Road Suite P, Thousand Oaks, CA, 91361 Homes for sale",Public charter,K-12,598.0,21:1,No reviews yet,Mountain Empire Unified School District
17,"3/10Below averageCompass Charter Schools850 Hampshire Road, Suite P, Thousand Oaks, CA, 91361 Homes for sale",Public charter,K-12,579.0,,4 reviews,Acton-Agua Dulce Unified School District
18,"2/10Below averageConejo Valley High (Continuation) School1400 East Janss Road, Thousand Oaks, CA, 91362 Homes for sale",Public district,9-12,102.0,11:1,4 reviews,Conejo Valley Unified School District
19,"Currently unratedMontessori Children's Place390 Arcturus Street, Thousand Oaks, CA, 91360 Homes for sale",Private,PK-K,3.0,,No reviews yet,
20,"Currently unratedTrinity Pacific Christian School3389 Camino Calandria, Thousand Oaks, CA, 91360 Homes for sale",Private,K-12,385.0,,15 reviews,
21,"Currently unratedHoney Tree Early Childhood Center1 West Avenida De Los Arboles, Thousand Oaks, CA, 91360 Homes for sale",Private,PK-K,135.0,,3 reviews,
22,"Currently unratedLiberty Christian Academy1626 Valley High Avenue, Thousand Oaks, CA, 91362 Homes for sale",Private,1-12,12.0,,No reviews yet,
23,"Currently unratedMontessori of the Oaks1000 East Janss Road, Thousand Oaks, CA, 91360 Homes for sale",Private,K-3,,,No reviews yet,
24,"Currently unratedMonte Vista Presbyterian Pre-School3797 LYNN RD., Suite C, Thousand Oaks, CA, 91360 Homes for sale",Private,PK,,,5 reviews,
0,"8/10Above averageSculptor Charter School1301 Armstrong Drive, Titusville, FL, 32780 Homes for sale",Public charter,K-8,551.0,14:1,14 reviews,Brevard
1,"6/10AverageAndrew Jackson Middle School1515 Knox McRae Drive, Titusville, FL, 32780 Homes for sale",Public district,7-8,548.0,19:1,9 reviews,Brevard
2,"6/10AverageImperial Estates Elementary School900 Imperial Estates Lane, Titusville, FL, 32780 Homes for sale",Public district,K-6,682.0,15:1,10 reviews,Brevard
3,"5/10AverageApollo Elementary School3085 Knox McRae Drive, Titusville, FL, 32780 Homes for sale",Public district,PK-6,877.0,15:1,17 reviews,Brevard
4,"4/10Below averageTitusville High School150 Terrier Trail South, Titusville, FL, 32780 Homes for sale",Public district,PK-12,1410.0,19:1,9 reviews,Brevard
5,"4/10Below averageCoquina Elementary School850 Knox McRae Drive, Titusville, FL, 32780 Homes for sale",Public district,PK-6,590.0,15:1,5 reviews,Brevard
6,"3/10Below averageOak Park Elementary School3395 Dairy Road, Titusville, FL, 32796 Homes for sale",Public district,PK-6,891.0,13:1,12 reviews,Brevard
7,"3/10Below averageJames Madison Middle School3375 Dairy Road, Titusville, FL, 32796 Homes for sale",Public district,7-8,459.0,14:1,5 reviews,Brevard
8,"3/10Below averageAstronaut High School800 War Eagle Boulevard, Titusville, FL, 32796 Homes for sale",Public district,9-12,1071.0,20:1,6 reviews,Brevard
9,"1/10Below averageFieldston Preparatory School2940 Columbia Boulevard, Titusville, FL, 32780 Homes for sale",Public district,K-12,106.0,9:1,4 reviews,Brevard
10,"Currently unratedSt Teresa Catholic School207 Ojibway Avenue, Titusville, FL, 32780 Homes for sale",Private,PK-8,170.0,,8 reviews,
11,"Currently unratedChildren's Montessori Academy1300 Armstrong Drive, Titusville, FL, 32780 Homes for sale",Private,PK-K,155.0,,2 reviews,
12,"Currently unratedWest Coast School Titusville712 Bridge St, Titusville, FL, 32780 Homes for sale",Private,"1-2, 4-8",,,No reviews yet,
13,"Currently unratedNorth Area Adult Education-Day Program3755 Garden Street, Titusville, FL, 32796 Homes for sale",Public district,Ungraded,,,No reviews yet,Brevard
14,"Currently unratedNorth Area Adult Education-Night Program3755 Garden Street, Titusville, FL, 32796 Homes for sale",Public district,Ungraded,,,No reviews yet,Brevard
15,"Currently unratedMrs Pat's Wee Care Center10 Hilltop Drive North, Titusville, FL, 32796 Homes for sale",Private,PK,,,No reviews yet,
16,"Currently unratedPatchs Learning Center1275 North Singleton Avenue, Titusville, FL, 32796 Homes for sale",Private,PK,,,1 review,
17,"Currently unratedKid's Place Toddle Inn Dc1355 Cheney Highway, Titusville, FL, 32780 Homes for sale",Private,PK,,,2 reviews,
18,"Currently unratedMiracle Outreach Day Care1375 S Deleon Ave, Titusville, FL, 32780 Homes for sale",Private,PK,,,No reviews yet,
19,"Currently unratedBrowne Family Day Care1729 Yorktown Ave, Titusville, FL, 32796 Homes for sale",Private,PK,,,No reviews yet,
20,"Currently unratedFirst United Methodist Pre-School213 South Palm Avenue, Titusville, FL, 32780 Homes for sale",Private,PK,,,No reviews yet,
21,"Currently unratedGood Shepherd Early Learning Center2073 Garden Street, Titusville, FL, 32796 Homes for sale",Private,PK,,,2 reviews,
22,"Currently unratedPoinciana Preschool247 S Doverplum Ave, Titusville, FL, 32780 Homes for sale",Private,PK,,,No reviews yet,
23,"Currently unratedBarna Kindercare2701 Barna Avenue, Titusville, FL, 32780 Homes for sale",Private,PK,,,No reviews yet,
24,"Currently unratedJack & Jill Playschool305 Acorn Drive, Titusville, FL, 32780 Homes for sale",Private,PK,,,No reviews yet,
0,"9/10Above averageOttawa Hills High School2 awardsAwards & BadgesCollege Success Award2018, 2019See all winners in Ohio2532 Evergreen Road, Toledo, OH, 43606 Homes for sale",Public district,7-12,490.0,13:1,13 reviews,Ottawa Hills Local School District
1,"8/10Above averageToledo Early College High School2225 Nebraska Avenue, Toledo, OH, 43607 Homes for sale",Public district,9-12,367.0,25:1,4 reviews,Toledo City School District
2,"7/10Above averageElmhurst Elementary School4530 Elmhurst Road, Toledo, OH, 43613 Homes for sale",Public district,K-8,512.0,18:1,7 reviews,Toledo City School District
3,"7/10Above averageMcGregor Elementary School3535 McGregor Lane, Toledo, OH, 43623 Homes for sale",Public district,K-6,482.0,19:1,No reviews yet,Washington Local School District
4,"7/10Above averageToledo School For The Arts3 awardsAwards & BadgesCollege Success Award2018, 2019, 2020See all winners in Ohio333 14th Street, Toledo, OH, 43604 Homes for sale",Public charter,6-12,692.0,16:1,10 reviews,Toledo School For The Arts
5,"7/10Above averageToledo Technology Academy High School3301 Upton Avenue, Toledo, OH, 43613 Homes for sale",Public district,7-12,317.0,13:1,6 reviews,Toledo City School District
6,"7/10Above averageToledo Preparatory and Fitness Academy3001 Hill Avenue, Toledo, OH, 43607 Homes for sale",Public charter,K-8,207.0,14:1,11 reviews,Toledo Preparatory And Fitness Academy
7,"6/10AverageGrove Patterson Academy Elementary School3020 Marvin Avenue, Toledo, OH, 43606 Homes for sale",Public district,K-8,386.0,14:1,7 reviews,Toledo City School District
8,"6/10AverageBeverly Elementary School3548 South Detroit Avenue, Toledo, OH, 43614 Homes for sale",Public district,K-8,672.0,16:1,6 reviews,Toledo City School District
9,"6/10AverageHiawatha Elementary School3020 Photos Drive, Toledo, OH, 43613 Homes for sale",Public district,K-7,359.0,19:1,2 reviews,Washington Local School District
10,"6/10AverageJackman Elementary School2010 Northover Road, Toledo, OH, 43613 Homes for sale",Public district,K-7,404.0,19:1,1 review,Washington Local School District
11,"6/10AverageMonac Elementary School3845 Clawson Avenue, Toledo, OH, 43623 Homes for sale",Public district,K-6,505.0,20:1,5 reviews,Washington Local School District
12,"6/10AverageShoreland Elementary School5650 Suder Avenue, Toledo, OH, 43611 Homes for sale",Public district,K-6,630.0,19:1,1 review,Washington Local School District
13,"5/10AverageImagine Hill Avenue6145 Hill Avenue, Toledo, OH, 43615 Homes for sale",Public charter,K-5,128.0,14:1,2 reviews,Imagine Hill Avenue
14,"5/10AverageStranahan Elementary School3840 North Holland Sylvania Road, Toledo, OH, 43615 Homes for sale",Public district,PK-5,561.0,26:1,5 reviews,Sylvania City School District
15,"5/10AverageWhiteford Elementary School4708 Whiteford Road, Toledo, OH, 43623 Homes for sale",Public district,K-5,484.0,18:1,3 reviews,Sylvania City School District
16,"5/10AverageChase Stem Academy600 Bassett Street, Toledo, OH, 43611 Homes for sale",Public district,K-10,344.0,14:1,1 review,Toledo City School District
17,"5/10AverageEdgewater Elementary School5549 Edgewater Drive, Toledo, OH, 43611 Homes for sale",Public district,K-8,183.0,10:1,1 review,Toledo City School District
18,"5/10AverageHarvard Elementary School1949 Glendale Avenue, Toledo, OH, 43614 Homes for sale",Public district,K-8,383.0,19:1,11 reviews,Toledo City School District
19,"5/10AverageSamuel M. Jones At Gunckel Park Elementary School430 Nebraska Avenue, Toledo, OH, 43604 Homes for sale",Public district,7-12,177.0,7:1,1 review,Toledo City School District
20,"5/10AverageOttawa River Elementary School4747 290th Street, Toledo, OH, 43611 Homes for sale",Public district,K-8,435.0,15:1,5 reviews,Toledo City School District
21,"5/10AverageDorr Street Elementary School1205 King Road, Toledo, OH, 43617 Homes for sale",Public district,PK-5,442.0,20:1,8 reviews,Springfield Local School District
22,"5/10AverageMeadowvale Elementary School2755 Edgebrook Drive, Toledo, OH, 43613 Homes for sale",Public district,K-6,568.0,18:1,2 reviews,Washington Local School District
23,"5/10AverageWashington Junior High School5700 Whitmer Drive, Toledo, OH, 43613 Homes for sale",Public district,6-9,509.0,17:1,3 reviews,Washington Local School District
24,"5/10AverageOld West End Academy Elementary School3131 Cambridge Street, Toledo, OH, 43610 Homes for sale",Public district,K-8,265.0,13:1,1 review,Toledo City School District
0,"8/10Above averageElmont Elementary School6432 Northwest Elmont Road, Topeka, KS, 66618 Homes for sale",Public district,K-6,342.0,14:1,3 reviews,Seaman School District
1,"7/10Above averageSeaman High School4850 Northwest Rochester Road, Topeka, KS, 66617 Homes for sale",Public district,9-12,1287.0,14:1,4 reviews,Seaman School District
2,"7/10Above averageMccarter Elementary School5512 SW 16th St, Topeka, KS, 66604 Homes for sale",Public district,PK-5,401.0,15:1,11 reviews,Topeka Public Schools
3,"7/10Above averageNorth Fairview1941 Northeast 39th Street, Topeka, KS, 66617 Homes for sale",Public district,PK-6,316.0,14:1,No reviews yet,Seaman School District
4,"7/10Above averageWanamaker Elementary School6630 Southwest 10th Avenue, Topeka, KS, 66615 Homes for sale",Public district,PK-6,536.0,14:1,1 review,Auburn-Washburn School District
5,"7/10Above averageWashburn Rural High School5900 SW 61st, Topeka, KS, 66619 Homes for sale",Public district,9-12,1954.0,15:1,9 reviews,Auburn-Washburn School District
6,"6/10AverageMceachron Elementary School4433 Southwest 29th Terrace, Topeka, KS, 66614 Homes for sale",Public district,PK-5,396.0,15:1,2 reviews,Topeka Public Schools
7,"6/10AverageNorthern Hills Elementary5620 Northwest Topeka Boulevard, Topeka, KS, 66617 Homes for sale",Public district,K-6,461.0,,No reviews yet,Seaman School District
8,"6/10AverageJay Shideler Elementary School4948 Southwest Wanamaker Road, Topeka, KS, 66610 Homes for sale",Public district,K-6,538.0,16:1,5 reviews,Auburn-Washburn School District
9,"6/10AverageIndian Hills Elementary School7445 Southwest 29th Street, Topeka, KS, 66614 Homes for sale",Public district,PK-6,540.0,15:1,3 reviews,Auburn-Washburn School District
10,"6/10AverageWashburn Rural Middle School5620 Southwest 61st Street, Topeka, KS, 66619 Homes for sale",Public district,7-8,967.0,14:1,6 reviews,Auburn-Washburn School District
11,"5/10AverageWest Indianola Elementary School4201 Northwest Brickyard Road, Topeka, KS, 66618 Homes for sale",Public district,K-6,445.0,15:1,2 reviews,Seaman School District
12,"5/10AverageShawnee Heights Elementary School2410 SE Burton St, Topeka, KS, 66605 Homes for sale",Public district,PK-6,438.0,15:1,6 reviews,Shawnee Heights School District
13,"5/10AverageQuincy Elementary School1500 NE Quincy, Topeka, KS, 66608 Homes for sale",Public district,PK-5,249.0,10:1,2 reviews,Topeka Public Schools
14,"5/10AverageRandolph Elementary School1400 SW Randolph Ave, Topeka, KS, 66604 Homes for sale",Public district,PK-5,373.0,15:1,13 reviews,Topeka Public Schools
15,"5/10AverageStout Elementary School2303 Southwest College Avenue, Topeka, KS, 66611 Homes for sale",Public district,PK-5,262.0,15:1,No reviews yet,Topeka Public Schools
16,"5/10AverageLandon Middle School731 Southwest Fairlawn Road, Topeka, KS, 66606 Homes for sale",Public district,6-8,455.0,13:1,3 reviews,Topeka Public Schools
17,"5/10AverageFarley Elementary School6701 Southwest 33rd Street, Topeka, KS, 66614 Homes for sale",Public district,PK-6,567.0,14:1,7 reviews,Auburn-Washburn School District
18,"4/10Below averageMeadows Elementary School201 Southwest Clay Street, Topeka, KS, 66606 Homes for sale",Public district,PK-5,560.0,13:1,13 reviews,Topeka Public Schools
19,"4/10Below averageMcclure Elementary School2529 Southwest Chelsea Drive, Topeka, KS, 66614 Homes for sale",Public district,PK-5,315.0,12:1,3 reviews,Topeka Public Schools
20,"4/10Below averageState Street Elementary School500 Northeast Sumner Street, Topeka, KS, 66616 Homes for sale",Public district,PK-5,492.0,12:1,4 reviews,Topeka Public Schools
